hour_of_day,avg_temp
0,25.78425531914894
1,25.805161290322577
2,24.20945945945946
3,25.38513513513513
4,24.85818181818182
5,24.482325581395347
6,25.63297872340425
7,23.181212121212123
8,25.552820512820514
9,24.346744186046514
10,24.183181818181822
11,26.19818181818181
12,24.20533333333333
13,23.80720000000001
14,24.939512195121953
15,24.843076923076925
16,23.76368421052631
17,24.44679245283019
18,23.28846153846154
19,25.443749999999998
20,24.477058823529415
21,25.111860465116283
22,24.220612244897957
23,24.88686274509804
